package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	FIND-IF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	FIND-IF-NOT	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	FIRST	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	FOURTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	GETF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	INTERSECTION	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	LENGTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	LIST	class+function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	LIST*	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	LIST-LENGTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	LISTP	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAP	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAP-INTO	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPC	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPCAN	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPCAR	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPCON	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPL	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MAPLIST	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MERGE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	MISMATCH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NCONC	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NINTERSECTION	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NREVERSE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NSET-DIFFERENCE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NSET-EXCLUSIVE-OR	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NSUBSTITUTE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NSUBSTITUTE-IF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NTHCDR	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NINTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	NUNION	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	POSITION	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	POSITION-IF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	POSITION-IF-NOT	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	RASSOC	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	REMOVE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	REMOVE-DUPLICATES	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	REMOVE-IF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	REMOVE-IF-NOT	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	REVERSE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	RPLACA	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	RPLACD	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SEARCH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SECOND	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SET-DIFFERENCE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SET-EXCLUSIVE-OR	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SEVENTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SIXTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SORT	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	STABLE-SORT	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SUBSEQ	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SUBSETP	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SUBSTITUTE	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	SUBSTITUTE-IF	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	TENTH	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	THIRD	function	ncl-lib-sequences	1	no	implemented sequence/list operation
COMMON-LISP	UNION	function	ncl-lib-sequences	1	no	implemented sequence/list operation
